Time,R_Knee_Angle,L_Knee_Angle,R_Ankle_Y,L_Ankle_Y,Source_Video,Clip_Cadence
0.0,92.11335619102681,162.34511999051256,0.6012581586837769,0.7244431376457214,20251209_103134.gif,174.19354838709677
0.1,127.07377988657609,115.55128196350483,0.6552102565765381,0.646111011505127,20251209_103134.gif,174.19354838709677
0.2,157.9711756652278,116.86271949172314,0.6920895576477051,0.5239253640174866,20251209_103134.gif,174.19354838709677
0.3,173.8585724373683,73.56960833337203,0.7308173179626465,0.47623205184936523,20251209_103134.gif,174.19354838709677
0.4,138.7341736561604,104.58958521380609,0.7048212885856628,0.5861766934394836,20251209_103134.gif,174.19354838709677
0.5,109.58465894706748,136.5231986422775,0.5364366769790649,0.6685959696769714,20251209_103134.gif,174.19354838709677
0.6,64.48585038895932,171.95170530103317,0.45269742608070374,0.6960124969482422,20251209_103134.gif,174.19354838709677
0.7,113.13255006082542,109.76665178874768,0.6552916765213013,0.6687809824943542,20251209_103134.gif,174.19354838709677
0.8,167.04884617388555,75.51373690394149,0.6524447202682495,0.6255815625190735,20251209_103134.gif,174.19354838709677
0.9,168.65682292858864,117.8651660767811,0.6880789995193481,0.5249488949775696,20251209_103134.gif,174.19354838709677
1.0,163.17738407600754,87.79961247929818,0.7126796245574951,0.5049782395362854,20251209_103134.gif,174.19354838709677
1.1,164.4227100390595,68.83871298242906,0.680107593536377,0.5656206011772156,20251209_103134.gif,174.19354838709677
1.2,125.08046028713912,134.99682987601844,0.5376832485198975,0.6447387933731079,20251209_103134.gif,174.19354838709677
1.3,104.61837578681474,174.04288649156567,0.45602717995643616,0.6835893392562866,20251209_103134.gif,174.19354838709677
1.4,118.97135343171007,168.20212824253764,0.666100263595581,0.6182299852371216,20251209_103134.gif,174.19354838709677
1.5,121.99223926500736,73.75250035207648,0.6764034628868103,0.561262845993042,20251209_103134.gif,174.19354838709677
1.6,149.08906890612397,71.32687816585263,0.6473090052604675,0.5838409066200256,20251209_103134.gif,174.19354838709677
1.7,112.60695591660206,148.16627686003372,0.5030443668365479,0.6102615594863892,20251209_103134.gif,174.19354838709677
1.8,179.18615404763116,50.90384326038151,0.5810394287109375,0.4816340208053589,20251209_103134.gif,174.19354838709677
1.9,130.12322849309956,140.86572657979835,0.6181712746620178,0.6394190192222595,20251209_103134.gif,174.19354838709677
2.0,91.42220503971924,170.8381426307424,0.5830153226852417,0.5833716988563538,20251209_103134.gif,174.19354838709677
2.1,82.64508872731989,156.27600457479525,0.49314796924591064,0.5605388283729553,20251209_103134.gif,174.19354838709677
2.2,177.81210929899865,70.0120980945041,0.6176965236663818,0.433476060628891,20251209_103134.gif,174.19354838709677
2.3,136.54266900745566,68.9808429689246,0.6090214252471924,0.490876704454422,20251209_103134.gif,174.19354838709677
2.4,133.89884953453588,95.26838645500851,0.5677688717842102,0.5259180665016174,20251209_103134.gif,174.19354838709677
2.5,179.67218953286752,66.94878831922945,0.5682879686355591,0.46990513801574707,20251209_103134.gif,174.19354838709677
2.6,163.06301346283826,78.247728263758,0.6136801242828369,0.4568791091442108,20251209_103134.gif,174.19354838709677
2.7,136.38343230410393,153.7490356604359,0.5474256277084351,0.6010805368423462,20251209_103134.gif,174.19354838709677
2.8,147.57461915387154,120.31756160095941,0.5586174130439758,0.5812943577766418,20251209_103134.gif,174.19354838709677
2.9,121.43476567992022,173.2124181925133,0.49223682284355164,0.5917068123817444,20251209_103134.gif,174.19354838709677
3.0,174.63515320291526,78.77912956782293,0.6128770112991333,0.48210060596466064,20251209_103134.gif,174.19354838709677
0.0,157.29757443998568,110.09277285975173,0.7804762125015259,0.6903249621391296,6c74c577d2137abba08bd906f111b389.gif,164.54545454545456
0.06629834254143646,154.32021026514843,82.96450912215073,0.7887450456619263,0.663730263710022,6c74c577d2137abba08bd906f111b389.gif,164.54545454545456
0.13259668508287292,152.91580252831926,65.09007510202736,0.8042147159576416,0.6571056246757507,6c74c577d2137abba08bd906f111b389.gif,164.54545454545456
0.19889502762430938,107.79182994954738,151.88770170056702,0.7103662490844727,0.815897524356842,6c74c577d2137abba08bd906f111b389.gif,164.54545454545456
0.26519337016574585,167.39674171220867,129.54450852870207,0.7773850560188293,0.7537528276443481,6c74c577d2137abba08bd906f111b389.gif,164.54545454545456
0.3314917127071823,146.96932026567674,143.71460683359226,0.7530683279037476,0.7538555860519409,6c74c577d2137abba08bd906f111b389.gif,164.54545454545456
0.39779005524861877,173.4481771356877,76.57660391249578,0.7887789607048035,0.6792023181915283,6c74c577d2137abba08bd906f111b389.gif,164.54545454545456
0.46408839779005523,67.92858422706449,142.8574118655279,0.6681744456291199,0.7942357659339905,6c74c577d2137abba08bd906f111b389.gif,164.54545454545456
0.5303867403314917,94.70755167554881,159.99190710858537,0.6994578242301941,0.8132796287536621,6c74c577d2137abba08bd906f111b389.gif,164.54545454545456
0.5966850828729282,128.10599358716587,163.33170028857063,0.7195080518722534,0.7845571637153625,6c74c577d2137abba08bd906f111b389.gif,164.54545454545456
